ID, Link ID, Concatenated Name
20304,0,בר יוחנא
20994,0,רב חנא בגדתא
21335,0,רבא בר קיסי
22537,0,רבי יצחק דיהבא
20429,0,חנוה בנו השני דשמעון הצדיק
22888,0,רבי תחליפא חמיו דר' אבהו
20376,0,הלל הבבלי
22134,0,רבי יהודה בר לואי
20777,0,רב אחא בר עוירא
20653,0,נהוראי בן שונייא
22068,0,רבי חנניה בריה דר' הלל
20899,0,רב הונא בר תחליפא
22705,0,רבי סמיא
22739,0,רבי פנחס בר זכאי
20932,0,רב זביד בר אושעיא
22620,0,רבי מיאשה בר בריה דרבי יהושע בן לוי
20237,0,בית גוברין
20115,0,אבימי בריה דר' אבהו
20258,0,בן כוברי
22354,0,רבי יוסי בן רבי זעירא דכפר ראמין
22034,0,רבי חנינא תרתיה
21131,0,רב יצחק בריה דרב
22348,0,רבי יוסי בן עזי דברדילה
21271,0,רב שמואל בר נחמן
22174,0,רבי יהודה חייטא
20730,0,ר''ח בר עגיל
21411,0,רבה עולא
20278,0,בני רחבה
20666,0,נחמיה בריה דרב חנילאי עירובין
20828,0,רב איקא בר חנניא
21244,0,רב שילא בר אבימי
22157,0,רבי יהודה בר' סיחון
22566,0,רבי ישמעאל בר ביבי
21762,0,רבי גמליאל בר אניא
21840,0,רבי חזקיה חוקוק
20805,0,רב אחא קרטיגנאה
22460,0,רבי יעקב בר קורשאי
22328,0,רבי יונתן שר הבירה
22280,0,רבי יוחנן בנו של רבי יוסי בן קיסמא
22019,0,רבי חנינא דמן חוורן
20846,0,רב אשי מאוירא
21045,0,רב חנניה בר שילת
22708,0,רבי עוזיאל רבה
20314,0,בר פדייה
20956,0,רב חייא בר רב מדיפתא
21619,0,רבי אלעזר בן דהבאי
20801,0,רב אחא מגדלאה
21935,0,רבי חלפתא בר יעקב
20372,0,הלל בן גמליאל
20992,0,רב חמא מהרדעא
22384,0,רבי יוסי בר' חנינא
22756,0,רבי קרציפא
21439,0,רבי אבא בר יהודה
22096,0,רבי יהודה בן גדיא
22428,0,רבי יניא קפודקאי
20962,0,רב חיננא בר חייא
20207,0,אמרי בר רב
22647,0,רבי מנשיא בר עזת
21921,0,רבי חיננא בר פפי
20139,0,און בר אמי
22801,0,רבי שמואל בר סוסרטא
21324,0,רבא בר לימא
20896,0,רב הונא בר נתן
20705,0,עמיאל בן גמלי
21474,0,רבי אבא מרי בצלאה
21920,0,רבי חיננא בר פפא
20250,0,בן בוניים
20394,0,זקני הגליל
22087,0,רבי יהודא בר אבא
21875,0,רבי חייא בר רב
20463,0,יהודה איש אבלים
21814,0,רבי זעירא בר אבונא
22033,0,רבי חנינא תורתייא
21185,0,רב משרשיא בריה דרבא
20419,0,חילפי בר סמקאי
20721,0,קטינא חריך שקי
22476,0,רבי יצחק איד כפר עכו
22882,0,רבי תחליפא בר גיזא
21752,0,רבי ברכיה בריה אבוה
20978,0,רב חמא בוזי בוזי
21824,0,רבי זריקן בר חמוי דר' זריקן
22062,0,רבי חנניה בר עדו
21630,0,רבי אלעזר בן עזריא
20309,0,בר מרינא
21791,0,רבי הושעיא בריה דר' שמלאי דקיסרין
22293,0,רבי יוחנן בר תורתא
20541,0,ייסא ערקי
22366,0,רבי יוסי בר ביבין
21494,0,רבי אבדימי דמן חיפא
21308,0,רבא בר בינא
22091,0,רבי יהודה ב''ב
22431,0,רבי יסא חבירו דר' אמי
20019,0,אבא בר בר חנא
20761,0,רב אויא סבא מפומבדיתא
21423,0,רבי אבא בר אבינא
