Secondary Name,Primary Name
אבא אריכא(4),רב(2578)
רבי אבא בן יוסי בן חלפתא(5),רבי מנחם ברבי יוסי(2111)
רבי אבא בר ביזנא(25),רבי אבא בר אבינה(19)
אבא בר דלייה(28),אבא הכהן בר דליא(61)
אבא בר הושעיה איש טירייה(29),אבא/רבי הושעיא איש טיריא(242)
אבא בר חילפיי בר קרייה(35),אבא חלפי בן קרויא(1151)
רבי אבא בר כהנא בר יודן(44),רבי אבא בר יודן(39)
רבי אבא בר לוי(45),רבה בר ליואי(2610)
רבי אבא בר מימי(46),רבי אבא בר ממל(47)
אבא בריה דרב מניומי(48),אבא בריה דרב בנימין בר חייא(27)
אבא בר קפרא(53),רבי אלעזר הקפר(485)
אבא בר תחליפא(55),רב אחא בר תחליפא(299)
רבי אבא דמן קסרי(58),רבי אדא דקיסרין(216)
רבי אבדונימוס בי רבי יוסי(76),רבי אבטילס ברבי יוסי(116)
רבי אבדימי(77),רבי אבא מרי(64)
רבי אבודימא(78),רבי אבודמא דציפורין(86)
רבי אבדימי אחוי דרבי יוסי(79),רבי אבא מרי אחוי דרבי יוסי(65)
רבי אבודמי בר תנחום(84),רבי שמואל בר אבודמא(2771)
רב אבודמא נחותא(88),רב דימי(867)
אבוה דרב אחא בריה דרב איקא(100),רב איקא(387)
אבוה דרבי אפטוריקי(101),דוסתאי אבוה דרבי אפטוריקי(856)
אבוה דשמואל(106),אבא בר אבא אבוה דשמואל(17)
אבוה דשמואל בר אבין(107),אבוה דרבי אבין(99)
אביי בריה דרבי אבהו(123),אבימי בריה דרבי אבהו(131)
אביי ברבי בנימן(125),אבא בריה דרב בנימין בר חייא(27)
אביי בר הונא(126),רב אבין בר הונא(147)
אביי דרב ספרא(127),אבוה דרב ספרא(104)
רבין בר אבא(142),רבי אבין בר שבא(159)
רבי אבין בר רב אחא(144),רבין בר רב אדא(143)
רבי אבין בר בנימין(146),רבי אחא בר רבי אבון בר בנימין(264)
רבי אבון בר רבי לעזר(155),רבין אבין(139)
רבין בר ממל(156),רבי אבא בר ממל(47)
רבין בר קיסי(158),רביא בר קיסי(2643)
אבמרי(176),רבי אבא מרי(64)
רבי אבמרי אחוי דרבי יוסי(178),רבי אבא מרי אחוי דרבי יוסי(65)
אגריפס ההגמון(184),אגניטוס(181)
רב אדא בר אבוה(191),רבה בר אבוה(2586)
רב אדא בר אבין(193),רב אידי בר אבין(343)
רב אדא בריה דרב אויא(196),רב אחא בריה דרב אויא(267)
רב אדא בר אחוה(197),רב אדא בר אהבה(194)
רב אדא בריה דרב איקא(198),רב אחא בריה דרב איקא(270)
אדא בר בר חנה(199),רבה בר בר חנה(2594)
רב אדא בר חמא(203),רב יוסף בר חמא(1772)
רב אדא ברבי חנינא(204),רבי אחא בר חנינא(281)
רב אדא בר נתן(208),רב אחא בר רב(296)
רב אדא בר רב עזא(209),רב אחא בר רב עוירא(291)
רבי אוורדימס ברבי יוסי(228),רבי מנחם ברבי יוסי(2111)
רבי אוניה(234),רב חנינא חברון דרבנין(1213)
אונקלוס בר קלונימוס(236),עקילס הגר(2472)
רבי אורי(238),רבי אידי(341)
רבי אושעיה בר אבא(243),רבי אושעיא רבה(239)
רב הושעיא בריה דרב אידי(244),רב יהושע בריה דרב אידי(1532)
רבי אושעיא בנו של רבי יהודה הבשם(247),רבי יהודה בן ישעיה הבשם(1457)
רבי הושעיה בן לוי(249),רבי יהושע בן לוי(1544)
אזגור מלכא(253),איזגדר מלכא(356)
רבי אחא אריכא(260),רבי אחא בר פפא(294)
רבי אחא בר אבא בר אחא(262),רבי אבא בר אחא(21)
רב אחא בריה דרב אחא(268),רב אחא בריה דרבא(297)
רבי אחא בר אילא(269),רב אחא בר עולא(292)
רב אחא בר אמי(271),רב אחדבוי בר אמי(312)
רב אחא בר ביזנא(274),רב חנא בר ביזנא(1192)
רב אחא בריה דרב חייא(278),רב אחא בריה דרב אויא(267)
רב אחא בריה דרב חייא בר אבא(279),רבי אבא בריה דרבי חייא בר אבא(34)
רב אחא בר חנא(280),רב אחא בר בר חנה(275)
רבי אחא ברבי יאשיה(282),רבי אחי ברבי יאשיה(322)
רבי אחא בריה דרב נחמן(290),מר זוטרא בריה דרב נחמן(2165)
רב אחא בר רב קטינא(295),רב חנא בר קטינא(1197)
רבי אחא בי רבי שמעון(298),רבי אדא בר שמעון(212)
רבי אחא ברבי(300),רבי אחא בר רבי אבון בר בנימין(264)
אחאי בריבי(302),רבי אחא(256)
רב אחא קרחניאה(307),רב אדא קרחינאה(222)
רב אחא קרטיגנא(308),רב חנא קרטיגנא(1201)
אחוה דבר אבוברם(315),אבוה דבר אבוברם(102)
רבי אחווא בריה דרבי זעירא(316),רבי אהבה בריה דרבי זעירא(226)
אחוי דרבי יהודה בר זבדי(317),רבי אבא אחוה דרבי יהודה בר זבדי(15)
רב אחי(319),רב אתי(581)
רבי אחאי בר חנינא(321),רבי יהודה בן חנניה(1444)
