Secondary Name,Primary Name
רבי בא(10004),רבי אבא(6)
רבי בא אבוה דרבי (א)בא מארי(10007),רבי אבא אבוה דרבי אבא מארי(10)
אחוי דרבי יהודה בר זבדי(317),רבי אבא אחוה דרבי יהודה בר זבדי(15)
רבי סימון אחוה דרבי יהודה בר זבדי(2370),רבי אבא אחוה דרבי יהודה בר זבדי(15)
אבא בר אבא(10008),אבא בר אבא אבוה דשמואל(17)
אבוה דשמואל(106),אבא בר אבא אבוה דשמואל(17)
רבי בא בר (א)בינה(10009),רבי אבא בר אבינה(19)
רבי אבא בר ביזנא(25),רבי אבא בר אבינה(19)
רבי בא בר ביזנא(10012),רבי אבא בר אבינה(19)
רבי ביבא בר אבינא(597),רבי אבא בר אבינה(19)
רבי בא בר אחא(10010),רבי אבא בר אחא(21)
רבי אחא בר אבא בר אחא(262),רבי אבא בר אחא(21)
בא בר (א)בא בר ממל(10011),אבא בר אבא בר ממל(24)
אבא בריה דרב מניומי(48),אבא בריה דרב בנימין בר חייא(27)
אביי ברבי בנימן(125),אבא בריה דרב בנימין בר חייא(27)
רבי בא בר המנונא(10013),רבי אבא בר המנונא(30)
רבי בא בר זבדא(10014),רבי אבא בר זבדא(31)
רבי אסא בר זבדא(530),רבי אבא בר זבדא(31)
רבי בא בר זוטרא(10015),רבי אבא בר זוטרא(32)
רבי בא בריה דרבי חייא (בר אבא)(10016),רבי אבא בריה דרבי חייא בר אבא(34)
רב אחא בריה דרב חייא בר אבא(279),רבי אבא בריה דרבי חייא בר אבא(34)
רבי בא בר חיננא(10017),רבי אבא בר חיננא(36)
רבי בא בר טבליי(10018),רבי אבא בר טבליי(38)
רבי אבא בר כהנא בר יודן(44),רבי אבא בר יודן(39)
כהנא בר ירמיה(2011),אבא בר ירמיה כהנא(41)
רבי בא בר כהן(10019),רבי אבא בר כהן(42)
רבי אבא בר מימי(46),רבי אבא בר ממל(47)
רבי בא בר ממל(10020),רבי אבא בר ממל(47)
רבין בר ממל(156),רבי אבא בר ממל(47)
רבי בריה(791),רבי אבא בריה דרבי פפי(52)
רבי אבא ד עכו(10021),רבי אבא דמן עכו(57)
רבי בא חסידא(10022),רבי אבא חסידא(60)
אבא בר דלייה(28),אבא הכהן בר דליא(61)
אבא כהן בר דליא(10023),אבא הכהן בר דליא(61)
